,x,y,line_id
0,-3.0,-2.9,2
1,-2.9,-2.9,2
2,-2.8,-2.85,2
3,-2.7,-2.8,2
4,-2.6,-2.8,2
5,-2.5,-2.75,2
6,-2.4,-2.75,2
7,-2.3,-2.7,2
8,-2.2,-2.7,2
9,-2.1,-2.65,2
10,-2.0,-2.6,2
11,-1.9,-2.55,2
12,-1.8,-2.5,2
13,-1.7,-2.45,2
14,-1.6,-2.4,2
15,-1.5,-2.35,2
16,-1.4,-2.3,2
17,-1.3,-2.2,2
18,-1.2,-2.15,2
19,-1.1,-2.1,2
20,-1.0,-2.05,2
21,-0.9,-2.0,2
22,-0.8,-1.9,2
23,-0.7,-1.8,2
24,-0.6,-1.75,2
25,-0.5,-1.65,2
26,-0.4,-1.55,2
27,-0.3,-1.5,2
28,-0.2,-1.35,2
29,-0.1,-1.2,2
30,0.0,-1.05,2
31,0.1,-0.9,2
32,0.2,-0.8,2
33,0.3,-0.7,2
34,0.4,-0.55,2
35,0.5,-0.3,2
36,0.6,-0.2,2
37,0.7,0.0,2
38,0.8,0.2,2
39,0.9,0.3,2
40,1.0,0.55,2
41,1.1,0.7,2
42,1.2,0.9,2
43,1.3,1.05,2
44,1.4,1.2,2
45,1.5,1.35,2
46,1.6,1.5,2
47,1.7,1.6,2
48,1.8,1.75,2
49,1.9,1.9,2
50,2.0,2.05,2
51,2.1,2.15,2
52,2.2,2.25,2
53,2.3,2.35,2
54,2.4,2.4,2
55,2.5,2.55,2
56,2.6,2.6,2
57,2.7,2.65,2
58,2.8,2.75,2
59,2.9,2.85,2
60,3.0,2.95,2
61,-3.0,-2.85,1
62,-2.9,-2.8,1
63,-2.8,-2.7,1
64,-2.7,-2.65,1
65,-2.6,-2.6,1
66,-2.5,-2.5,1
67,-2.4,-2.4,1
68,-2.3,-2.35,1
69,-2.2,-2.25,1
70,-2.1,-2.15,1
71,-2.0,-2.05,1
72,-1.9,-2.0,1
73,-1.8,-1.85,1
74,-1.7,-1.7,1
75,-1.6,-1.55,1
76,-1.5,-1.4,1
77,-1.4,-1.2,1
78,-1.3,-1.1,1
79,-1.2,-1.0,1
80,-1.1,-0.75,1
81,-1.0,-0.6,1
82,-0.9,-0.4,1
83,-0.8,-0.25,1
84,-0.7,-0.05,1
85,-0.6,0.2,1
86,-0.5,0.3,1
87,-0.4,0.45,1
88,-0.3,0.6,1
89,-0.2,0.8,1
90,-0.1,0.95,1
91,0.0,1.1,1
92,0.1,1.25,1
93,0.2,1.35,1
94,0.3,1.5,1
95,0.4,1.6,1
96,0.5,1.7,1
97,0.6,1.75,1
98,0.7,1.85,1
99,0.8,1.95,1
100,0.9,2.0,1
101,1.0,2.1,1
102,1.1,2.15,1
103,1.2,2.25,1
104,1.3,2.3,1
105,1.4,2.35,1
106,1.5,2.4,1
107,1.6,2.45,1
108,1.7,2.5,1
109,1.8,2.55,1
110,1.9,2.6,1
111,2.0,2.65,1
112,2.1,2.7,1
113,2.2,2.75,1
114,2.3,2.8,1
115,2.4,2.8,1
116,2.5,2.85,1
117,2.6,2.85,1
118,2.7,2.9,1
119,2.8,2.95,1
120,2.9,2.95,1
121,3.0,2.95,1
